created_at;id;full_text;entities;extended_entities;source
Tue Sep 20 07:03:32 +0000 2022;1572119251535777793;"Ayer celebramos un taller práctico del #ObservatorioCinegetico en Benalup-Casas Viejas (Cádiz), donde varias decenas de cazadores aprendieron cómo participar en este proyecto de ciencia ciudadana.

Gracias a la Sociedad de #Caza El Malvís y al Ayuntamiento por su acogida! https://t.co/u5uExpUGbN";{'hashtags': [{'text': 'ObservatorioCinegetico', 'indices': [39, 62]}, {'text': 'Caza', 'indices': [223, 228]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1572119246565515264, 'id_str': '1572119246565515264', 'indices': [273, 296], 'media_url': 'http://pbs.twimg.com/media/FdFKIBQXoAARz3R.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFKIBQXoAARz3R.jpg', 'url': 'https://t.co/u5uExpUGbN', 'display_url': 'pic.twitter.com/u5uExpUGbN', 'expanded_url': 'https://twitter.com/andaluciacaza/status/1572119251535777793/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 898, 'resize': 'fit'}}}]};{'media': [{'id': 1572119246565515264, 'id_str': '1572119246565515264', 'indices': [273, 296], 'media_url': 'http://pbs.twimg.com/media/FdFKIBQXoAARz3R.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFKIBQXoAARz3R.jpg', 'url': 'https://t.co/u5uExpUGbN', 'display_url': 'pic.twitter.com/u5uExpUGbN', 'expanded_url': 'https://twitter.com/andaluciacaza/status/1572119251535777793/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 898, 'resize': 'fit'}}, 'ext_alt_text': None}, {'id': 1572119246565507072, 'id_str': '1572119246565507072', 'indices': [273, 296], 'media_url': 'http://pbs.twimg.com/media/FdFKIBQXgAAFVAj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFKIBQXgAAFVAj.jpg', 'url': 'https://t.co/u5uExpUGbN', 'display_url': 'pic.twitter.com/u5uExpUGbN', 'expanded_url': 'https://twitter.com/andaluciacaza/status/1572119251535777793/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 898, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}, 'ext_alt_text': None}, {'id': 1572119246569611264, 'id_str': '1572119246569611264', 'indices': [273, 296], 'media_url': 'http://pbs.twimg.com/media/FdFKIBRWIAA7A1d.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFKIBRWIAA7A1d.jpg', 'url': 'https://t.co/u5uExpUGbN', 'display_url': 'pic.twitter.com/u5uExpUGbN', 'expanded_url': 'https://twitter.com/andaluciacaza/status/1572119251535777793/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 898, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 674, 'resize': 'fit'}}, 'ext_alt_text': None}]};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Tue Sep 20 07:02:41 +0000 2022;1572119034493112320;Mielenkiintoinen kogressi tulossa: #kansalaistiede ja #linnut! https://t.co/JqmCcX2HBv;{'hashtags': [{'text': 'kansalaistiede', 'indices': [35, 50]}, {'text': 'linnut', 'indices': [54, 61]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JqmCcX2HBv', 'expanded_url': 'https://twitter.com/IBIS_journal/status/1572118472292765696', 'display_url': 'twitter.com/IBIS_journal/s…', 'indices': [63, 86]}]};;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Tue Sep 20 07:23:54 +0000 2022;1572124376363053058;En @etopia_  esperando a que comience la II Jornada Nacional de Ciencia Ciudadana Ciencias Sociales y Humanidades. #IdentidadesComunes https://t.co/SwESyQOkhF;{'hashtags': [{'text': 'IdentidadesComunes', 'indices': [115, 134]}], 'symbols': [], 'user_mentions': [{'screen_name': 'etopia_', 'name': 'Etopia Centro de Arte y Tecnología', 'id': 414705452, 'id_str': '414705452', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1572124347514372098, 'id_str': '1572124347514372098', 'indices': [135, 158], 'media_url': 'http://pbs.twimg.com/media/FdFOw7xWQAI9U0P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFOw7xWQAI9U0P.jpg', 'url': 'https://t.co/SwESyQOkhF', 'display_url': 'pic.twitter.com/SwESyQOkhF', 'expanded_url': 'https://twitter.com/AnaMGilAguado/status/1572124376363053058/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]};{'media': [{'id': 1572124347514372098, 'id_str': '1572124347514372098', 'indices': [135, 158], 'media_url': 'http://pbs.twimg.com/media/FdFOw7xWQAI9U0P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFOw7xWQAI9U0P.jpg', 'url': 'https://t.co/SwESyQOkhF', 'display_url': 'pic.twitter.com/SwESyQOkhF', 'expanded_url': 'https://twitter.com/AnaMGilAguado/status/1572124376363053058/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}, 'ext_alt_text': 'La gente está aún fuera, no es que no haya nadie no. '}]};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Tue Sep 20 07:24:28 +0000 2022;1572124518470090752;That's not so great, but the level is at least below 10 ugr/m3. Temperature is 12.50 C. Wind direction is W. Dust level #PM10 is: 5.18ugr/m3. Dust level #PM2.5 is: 3.17ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten;{'hashtags': [{'text': 'PM10', 'indices': [120, 125]}, {'text': 'PM2', 'indices': [153, 157]}, {'text': 'Fijnstof', 'indices': [176, 185]}, {'text': 'Airpollution', 'indices': [186, 199]}, {'text': 'Waalre', 'indices': [200, 207]}, {'text': 'CitizenScience', 'indices': [208, 223]}, {'text': 'luftdaten', 'indices': [224, 234]}], 'symbols': [], 'user_mentions': [], 'urls': []};;"<a href=""https://opensensemap.org/explore/5a76de1329b729001a0e78c7"" rel=""nofollow"">stofmeeting</a>"
Tue Sep 20 07:23:00 +0000 2022;1572124150281404417;"The Great British Beach Clean is taking place from Friday 16th September to Sunday 25th September.

The Great British Beach Clean is a week-long citizen science event, where hundreds of beach cleans take place up and down the UK. https://t.co/R2yGMNK2Fw";{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1572124148876414976, 'id_str': '1572124148876414976', 'indices': [230, 253], 'media_url': 'http://pbs.twimg.com/media/FdFOlXyXkAA1w_a.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFOlXyXkAA1w_a.jpg', 'url': 'https://t.co/R2yGMNK2Fw', 'display_url': 'pic.twitter.com/R2yGMNK2Fw', 'expanded_url': 'https://twitter.com/oatesenviron/status/1572124150281404417/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}}}]};{'media': [{'id': 1572124148876414976, 'id_str': '1572124148876414976', 'indices': [230, 253], 'media_url': 'http://pbs.twimg.com/media/FdFOlXyXkAA1w_a.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFOlXyXkAA1w_a.jpg', 'url': 'https://t.co/R2yGMNK2Fw', 'display_url': 'pic.twitter.com/R2yGMNK2Fw', 'expanded_url': 'https://twitter.com/oatesenviron/status/1572124150281404417/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}}, 'ext_alt_text': None}]};"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>"
Tue Sep 20 07:13:22 +0000 2022;1572121724426256386;"Vielen Dank an alle, die schon für unsere #SprachChecker abgestimmt haben! Diese Woche lautet das Motto beim #Publikumsvoting #Endspurt! Da jede Stimme zählt, nochmal die Bitte: Teilen Sie/teilt unser Projekt &amp; stimmen Sie/stimmt für uns ab bis 25.9. 👉 https://t.co/Vy8qg89I84.";{'hashtags': [{'text': 'SprachChecker', 'indices': [42, 56]}, {'text': 'Publikumsvoting', 'indices': [109, 125]}, {'text': 'Endspurt', 'indices': [126, 135]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Vy8qg89I84', 'expanded_url': 'https://www.citizenscience-wettbewerb.de/', 'display_url': 'citizenscience-wettbewerb.de', 'indices': [257, 280]}]};;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Tue Sep 20 07:08:28 +0000 2022;1572120490311057408;@manuelfherrador @Estructurando Os veo lanzando una campaña de ciencia ciudadana... 😂👍💪;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'manuelfherrador', 'name': 'Manuel F. Herrador', 'id': 45599578, 'id_str': '45599578', 'indices': [0, 16]}, {'screen_name': 'Estructurando', 'name': 'Estructurando', 'id': 1241432275, 'id_str': '1241432275', 'indices': [17, 31]}], 'urls': []};;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Tue Sep 20 07:30:00 +0000 2022;1572125909871726594;"Poem about butterflies, Big Butterfly Month India a citizen science initiative is happening in India.

Read the full poem here⬇️
https://t.co/AhD8oY3zok";{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AhD8oY3zok', 'expanded_url': 'https://wenaturalists.com/post/6328829b7305156ee06b3a0c', 'display_url': 'wenaturalists.com/post/6328829b7…', 'indices': [129, 152]}]};;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
Tue Sep 20 07:25:12 +0000 2022;1572124701706657800;"Preliminary M5.0 #earthquake 521km/324miles from #Ruatoria, in #KermadecIslands, 2022-09-20 07:05 UTC by @raspishake network.

Join the largest #CitizenScience #seismograph community ➡ https://t.co/Y5O0dgJqJF

EVENT ➡ https://t.co/bst3s3eQAh https://t.co/907gW10vha";{'hashtags': [{'text': 'earthquake', 'indices': [17, 28]}, {'text': 'Ruatoria', 'indices': [49, 58]}, {'text': 'KermadecIslands', 'indices': [63, 79]}, {'text': 'CitizenScience', 'indices': [144, 159]}, {'text': 'seismograph', 'indices': [160, 172]}], 'symbols': [], 'user_mentions': [{'screen_name': 'raspishake', 'name': 'Raspberry Shake', 'id': 727960753593065474, 'id_str': '727960753593065474', 'indices': [105, 116]}], 'urls': [{'url': 'https://t.co/Y5O0dgJqJF', 'expanded_url': 'https://raspberryshake.org', 'display_url': 'raspberryshake.org', 'indices': [185, 208]}, {'url': 'https://t.co/bst3s3eQAh', 'expanded_url': 'https://stationview.raspberryshake.org/#?event=rs2022snmjqf', 'display_url': 'stationview.raspberryshake.org/#?event=rs2022…', 'indices': [218, 241]}], 'media': [{'id': 1572124699999539202, 'id_str': '1572124699999539202', 'indices': [242, 265], 'media_url': 'http://pbs.twimg.com/media/FdFPFc4XEAIhYa9.png', 'media_url_https': 'https://pbs.twimg.com/media/FdFPFc4XEAIhYa9.png', 'url': 'https://t.co/907gW10vha', 'display_url': 'pic.twitter.com/907gW10vha', 'expanded_url': 'https://twitter.com/raspishakEQ/status/1572124701706657800/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 384, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 820, 'h': 463, 'resize': 'fit'}, 'medium': {'w': 820, 'h': 463, 'resize': 'fit'}}}]};{'media': [{'id': 1572124699999539202, 'id_str': '1572124699999539202', 'indices': [242, 265], 'media_url': 'http://pbs.twimg.com/media/FdFPFc4XEAIhYa9.png', 'media_url_https': 'https://pbs.twimg.com/media/FdFPFc4XEAIhYa9.png', 'url': 'https://t.co/907gW10vha', 'display_url': 'pic.twitter.com/907gW10vha', 'expanded_url': 'https://twitter.com/raspishakEQ/status/1572124701706657800/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 384, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 820, 'h': 463, 'resize': 'fit'}, 'medium': {'w': 820, 'h': 463, 'resize': 'fit'}}, 'ext_alt_text': None}]};"<a href=""https://raspberryshake.org/"" rel=""nofollow"">raspishakEQ</a>"
Tue Sep 20 07:45:12 +0000 2022;1572129734401703937;"Wer profitiert außerhalb der Wissenschaft von Open Access? Und inwieweit kann #OpenAccess ein Arbeitsfeld auch für öffentliche Bibliotheken sein? Der verlinkte Beitrag stellt Antworten auf diese Fragen vor:  https://t.co/DES0Vpcwqc

#OpenScience #CitizenScience https://t.co/Q1p1Tgb9iP";{'hashtags': [{'text': 'OpenAccess', 'indices': [78, 89]}, {'text': 'OpenScience', 'indices': [233, 245]}, {'text': 'CitizenScience', 'indices': [246, 261]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DES0Vpcwqc', 'expanded_url': 'https://0277.pubpub.org/pub/coxfq7xk/release/1', 'display_url': '0277.pubpub.org/pub/coxfq7xk/r…', 'indices': [208, 231]}], 'media': [{'id': 1572129732988133378, 'id_str': '1572129732988133378', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/media/FdFTqaOWYAIZwPJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFTqaOWYAIZwPJ.jpg', 'url': 'https://t.co/Q1p1Tgb9iP', 'display_url': 'pic.twitter.com/Q1p1Tgb9iP', 'expanded_url': 'https://twitter.com/OPERAS_GER/status/1572129734401703937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]};{'media': [{'id': 1572129732988133378, 'id_str': '1572129732988133378', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/media/FdFTqaOWYAIZwPJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FdFTqaOWYAIZwPJ.jpg', 'url': 'https://t.co/Q1p1Tgb9iP', 'display_url': 'pic.twitter.com/Q1p1Tgb9iP', 'expanded_url': 'https://twitter.com/OPERAS_GER/status/1572129734401703937/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 900, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'ext_alt_text': None}]};"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"
